,w,corpus_w_count,p(w),"p(t,w)"
86,left,20909,0.12283587613603651,299
87,raise,38757,0.22768903588906056,218
88,counting,17622,0.10352545838008682,75
89,your help,46829,0.275110299085296,385
90,spread,10647,0.0625488341489493,130
91,liberty,1387,0.008148326567539464,74
92,defeat,41451,0.24351570623725907,336
93,change,47224,0.27743083909551813,424
94,our country,20524,0.12057408397417445,288
95,click,99627,0.5852871888567082,636
96,donate,58678,0.34472062460712377,472
97,makes,7981,0.04688665777615895,105
98,your donation,40274,0.23660108448528072,132
99,best,40264,0.23654233663692067,304
100,thank,43124,0.2533442212678961,328
101,the day,3924,0.023052655696485118,37
102,receive,125334,0.7363102826358985,856
103,day,108848,0.6394585798295137,988
104,takes,17518,0.10291448075714227,108
105,act,69787,0.40998360935030753,853
106,meet,13600,0.07989707376967319,118
107,answer,8261,0.04853159753024045,118
108,action,15008,0.08816877081876877,240
109,the campaign trail,2286,0.013429758135108301,19
110,Yes,5574,0.03274605067589399,57
111,seen,9080,0.053343046310928864,113
112,the campaign,18834,0.11064569760132535,64
113,got,27322,0.16051087128933902,212
114,started,6352,0.037316633278306185,77
115,worry,3755,0.022059817059200206,32
116,better,14441,0.08483776781675371,158
117,running,47880,0.28128469794793765,430
118,No one,1409,0.008277571833931583,26
119,exactly,6138,0.03605942932340103,82
120,thrilled,1055,0.0061978980019856775,26
121,Joe Biden,24403,0.1433623743530393,151
122,advocate,5842,0.03432049301194344,85
123,tough,8688,0.051040130655214754,76
124,crime,1388,0.008154201352375469,1388
125,President Trump,17920,0.10527614426121644,382
126,millions,17338,0.1018570194866613,112
127,Republicans,34356,0.20183410782580088,315
128,identify,1512,0.008882674672040137,54
129,the support,5168,0.03036088803247581,37
130,history,22020,0.12936276208883848,222
131,November 3rd,5259,0.0308954934525523,30
132,Let,19457,0.11430568855415671,211
133,reach,39630,0.23281772305089327,188
134,our message,4679,0.02748811824766918,33
135,free markets,70,0.0004112349385203767,23
136,bringing,2649,0.015562305030578255,42
137,ending,34720,0.20397252950610684,308
138,drugs,3043,0.017876970255964374,70
139,chipping,9666,0.056785670224828014,126
140,any amount,6213,0.03650003818610143,48
141,the button,8615,0.05061127136218636,43
142,a donation,26364,0.15488282741644588,126
143,sure,60161,0.3534329305189197,560
144,let,48386,0.28425733907495637,466
145,saw,5411,0.03178846074762512,68
146,Trump,76658,0.4503492559585005,892
147,Biden,27077,0.1590715490045177,181
148,prepare,4225,0.024820965932122737,31
149,happen,16072,0.0944195418842785,203
150,help,123524,0.7256769220827287,1017
151,pay,49135,0.2886575529171244,297
152,a contribution,32311,0.18982017283616986,169
153,watch,9175,0.05390115087034937,162
154,saying,3423,0.02010938849364642,53
155,read,53688,0.3154054482754569,474
156,people,53582,0.31478272108284033,594
157,actually,3221,0.018922681956773334,72
158,the Constitution,7579,0.044524994272084784,78
159,including,10291,0.06045741074733138,168
160,restore,3621,0.021272595891175486,122
161,COVID-19,14026,0.08239973210981148,128
162,businesses,5417,0.03182370945664115,102
163,decide,11385,0.06688442535792126,88
164,open,10840,0.06368266762229834,188
165,based,3276,0.01924579512275363,63
166,free,9816,0.057666887950228826,281
167,the economy,1161,0.006820625194602248,30
168,resources,18907,0.11107455689435375,108
169,the government,797,0.004682203514296289,29
170,cut,14751,0.08665895111591539,282
171,taxes,2272,0.013347511147404227,113
172,destroyed,943,0.005539922100353075,45
173,launched,5928,0.0348257245078399,30
174,passed,4074,0.023933873421885923,64
175,police,4788,0.028128469794793765,339
176,policing,458,0.0026906514548904648,41
177,held,8465,0.04973005363678555,248
178,responsible,1604,0.009423154876952632,48
179,their actions,207,0.001216080461053114,23
180,The Democrats,1177,0.006914621751978334,36
181,laws,5875,0.034514360911531615,117
182,things,10342,0.060757024773967654,93
183,voters,39707,0.23327008148326567,315
184,prefer,23381,0.13735834425064183,317
185,respect,3503,0.02057937128052685,74
186,start,25019,0.14698124181201863,218
187,try,69328,0.4072870831105811,826
188,prevent,4384,0.02575505672104759,85
189,favor,5917,0.03476110187464384,82
190,remove,4083,0.023986746485409972,73
191,think,13461,0.07908047867746844,195
192,starts,3763,0.02210681533788825,35
193,This week,2206,0.012959775348227872,56
194,the opportunity,2710,0.015920666905574584,23
195,Kamala Harris,9103,0.053478166362156986,134
196,serve,29145,0.17122060404537684,474
197,the Trump administration,1690,0.009928386372849094,19
198,defend,13694,0.0804493035442577,186
199,spending,12874,0.07563197997873328,66
200,increasing,5442,0.031970579077541285,104
201,called,5715,0.033574395337770756,146
202,conservative,12468,0.0732468173353151,241
203,learned,2276,0.013371010286748248,40
204,avoid,1326,0.007789964692543136,72
205,Harris,15627,0.0918052626322561,172
206,men,119948,0.7046686915091734,1161
207,women,8173,0.048014616464671984,117
208,fact,9328,0.0547999929502582,164
209,the people,15050,0.08841551178188099,142
210,hurt,1972,0.011585075696602613,58
211,save,50311,0.29556629988426675,212
212,near,7469,0.04387876794012419,86
213,donating,13245,0.07781152515289128,58
214,want,75252,0.44208930847907696,710
215,share,13646,0.08016731387212943,148
216,raised,11923,0.07004505959969216,100
217,place,18722,0.10998772169969274,232
218,the Democrats,4561,0.026794893637020544,120
219,destroying,1282,0.007531474159758899,34
220,lost,5185,0.030460759374687903,71
221,MILLIONS,6039,0.0354778256246365,22
222,jobs,7986,0.04691603170033898,137
223,taken,5154,0.030278641044771737,117
224,politicians,4093,0.024045494333770026,120
225,willing,4116,0.02418061438499815,56
226,create,6789,0.039883914251640534,191
227,solutions,5010,0.02943267202838696,55
228,trust,5230,0.030725124692308144,120
229,the White House,8695,0.05108125414906679,136
230,achieve,2131,0.012519166485527467,31
231,victory,12995,0.07634282894388993,117
232,speak,6362,0.03737538112666624,119
233,seek,1660,0.009752142827768933,52
234,stop,37227,0.21870061508997232,532
235,Change,19707,0.11577438476315804,246
236,reached,2642,0.015521181536726218,18
237,opportunity,13463,0.07909222824714045,96
238,possible,16923,0.09941898377971907,130
239,Turn,8410,0.04940694047080526,135
240,Twitter,32234,0.18936781440379746,495
241,thought,10699,0.06285432296042158,73
242,later,2034,0.011949312356434946,49
243,determined,2370,0.013923240061332753,43
244,committed,12741,0.07485063359554456,233
245,the president,3117,0.018311704333828775,76
246,attacked,1407,0.008265822264259572,62
247,starting,2884,0.01694287946703952,30
248,away,24928,0.14644663639194214,235
249,Elizabeth Warren,3004,0.017647853647360167,17
250,life,26091,0.1532790111562164,282
251,the streets,842,0.0049465688319165315,61
252,push,17064,0.10024732844159583,184
253,racial justice,784,0.004605831311428219,19
254,leadership,14081,0.08272284527579177,157
255,the country,25363,0.1490021677956045,270
256,systemic racism,744,0.004370839917988004,39
257,Instead,3262,0.019163548135049554,41
258,helps,4553,0.0267478953583325,25
259,social media,3839,0.022553298985424658,49
260,a nation,3289,0.019322167325621697,56
261,deserve,9634,0.05659767711007584,159
262,Tell,1916,0.011256087745786311,25
263,condemn,1094,0.006427014610589887,54
264,YES,8709,0.051163501136770866,114
265,The WDTO Team,1445,0.008489064088027775,24
266,THE SURVEY,2254,0.013241765020356129,24
267,PAC PO Box,0,0.0,0
268,"Washington, DC 20003",7886,0.046328553216738434,62
269,According,1078,0.006333018053213801,29
270,Barack Obama,4874,0.02863370129069023,44
271,guilty,267,0.0015685675512134368,48
272,the history,608,0.003571869180291272,22
273,knows,12410,0.07290607981482679,175
274,Obama,13715,0.0805726740258138,104
275,unlike,1366,0.00802495608598335,23
276,born,1866,0.010962348503986042,41
277,the power,4088,0.02401612040959,36
278,plan,22948,0.1348145624166515,234
279,Lindsey Graham,6758,0.03970179592172437,17
280,testify,226,0.0013277013729372162,26
281,said,11336,0.066596560900957,247
282,his position,332,0.0019504285655537867,52
283,president,13655,0.08022018693565348,267
284,your response,7355,0.043209042468819576,25
285,Portland,507,0.002978515911854728,38
286,sending,5847,0.03434986693612346,81
287,Chicago,6099,0.03583031271479682,124
288,claims,1719,0.010098755133093251,32
289,the city,447,0.0026260288216944055,36
290,needs,21507,0.12634899746796774,250
291,combat,7552,0.044366375081512636,167
292,support,130931,0.7691914533630205,1095
293,tried,1977,0.01161444962078264,55
294,supporting,44573,0.26185678449526784,328
295,standing,10318,0.06061602993790353,166
296,communities,14694,0.08632408838026308,267
297,color,3452,0.020279757253890578,85
298,taking,21671,0.12731246218107262,189
299,Join,9743,0.05723802865720043,105
300,force,9099,0.05345466722281297,360
301,win,96720,0.5682091893384404,815
302,your input,3709,0.02178957695674396,59
303,matter,23222,0.13642425346171697,310
304,wants,7619,0.044759985665525,123
305,Barr,3177,0.018664191423989097,78
306,long,50947,0.29930266303996617,397
307,the criminal justice system,84,0.000493481926224452,21
308,American history,703,0.0041299737397117835,21
309,fired,3050,0.017918093749816413,47
310,law,18428,0.10826053495790716,582
311,order,15715,0.09232224369782456,366
312,Washington DC,2975,0.01747748488711601,73
313,officers,1172,0.006885247827798307,167
314,threatening,1112,0.006532760737637984,29
315,Click,65148,0.3827304824960786,575
316,calling,8665,0.05090501060398663,163
317,worked,5773,0.03391513285825907,102
318,Georgia,5224,0.030689875983292113,97
319,says,4503,0.02645415611653223,97
320,received,31795,0.1867887838607911,164
321,ICE,6665,0.039155440931975864,148
322,families,21689,0.12741820830812073,228
323,the border,431,0.0025320322643183194,23
324,leaving,1408,0.008271697049095576,60
325,demanding,2203,0.012942150993719854,61
326,hate,30224,0.17755949688342665,311
327,crimes,581,0.0034132499897191267,581
328,targeting,1346,0.007907460389263243,31
329,immigrants,1394,0.008189450061391502,47
330,Despite,1584,0.009305659180232524,27
331,abuse,1424,0.008365693606471663,157
332,come,50366,0.295889413050247,548
333,completely,5327,0.031294978821400664,48
334,the values,897,0.005269681997896827,24
335,this country,7059,0.041470106157361984,102
336,founded,1327,0.007795839477379141,26
337,Today,10170,0.059746561782174724,127
338,critical,38921,0.22865250060216544,371
339,introduced,1218,0.007155487930254554,51
340,shot,9446,0.05549321756090683,96
341,McConnell,25649,0.15068235625870202,111
342,helped,4946,0.029056685798882615,115
343,power,44549,0.2617157896592037,518
344,thinks,1755,0.010310247387189444,29
345,his life,1524,0.0089531720900722,30
346,easier,1333,0.007831088186395174,24
347,paid,3636,0.021360717663715566,44
348,his crimes,140,0.0008224698770407534,140
349,clear,18102,0.10634535510136942,242
350,attention,2598,0.01526269100394198,36
351,right,83589,0.4910673896568538,696
352,the hook,117,0.0006873498258126296,27
353,Mitch McConnell,22795,0.13391572033674268,98
354,sent,103399,0.6074468772581204,970
355,cities,3077,0.018076712940388557,170
356,the GOP,9568,0.056209941310899486,54
357,face,12823,0.07533236595209701,171
358,the prospect,123,0.0007225985348286619,14
359,able,65576,0.3852448904058889,683
360,looking,6541,0.0384269676123112,63
361,good,22312,0.13107819926095207,268
362,the 2016 election,416,0.0024439104917782385,23
363,commit,44873,0.26361921994606946,493
364,this November,9508,0.055857454220739164,118
365,November,44102,0.25908976083750934,356
366,weeks,22017,0.12934513773433048,142
367,crucial,23305,0.13691186060310542,229
368,according,1343,0.007889836034755227,42
369,continued,8964,0.05266157126995224,96
370,lead,49186,0.28895716694376067,483
371,way,89261,0.5243891692466763,819
372,the election,11711,0.06879960521445902,83
373,Florida,5969,0.035066590686116124,33
374,Michigan,5720,0.03360376926195078,25
375,voted,7500,0.04406088627004036,142
376,Clinton,2356,0.013840993073628679,39
377,election,64751,0.38039819291618443,542
378,the Senate,33620,0.19751026618650092,258
379,expand,12886,0.07570247739676535,102
380,seeing,4203,0.024691720665730617,45
381,the polls,15986,0.09391431038838202,189
382,exactly what,1860,0.010927099794970009,27
383,Our work,1591,0.009346782674084562,33
384,ready,39430,0.2316427660836922,287
385,fight,80168,0.4709697507328794,773
386,reaching,10037,0.05896521539898601,47
387,ask,47652,0.2799452470053284,342
388,your support,50169,0.294732080437554,429
389,mobilize,2068,0.01214905504085913,22
390,going,50320,0.2956191729477908,438
391,Washington,55212,0.3243586203655291,430
392,CONTRIBUTE,13200,0.07754715983527104,108
393,lynching,92,0.000540480204912495,56
394,last week,3362,0.01975102661865009,68
395,pass,28575,0.16787197668885376,245
396,honor,9127,0.05361916119822112,138
397,ensure,17821,0.10469454056245191,158
398,justice,9647,0.05667404931294391,264
399,served,12194,0.07163712629024963,237
400,asking,19969,0.11731357839019146,159
401,join,30526,0.17933368190390028,440
402,sign,29135,0.1711618561970168,422
403,Friend,37015,0.2174551607047392,295
404,known,2183,0.012824655296999747,33
405,the public,1646,0.009669895840064857,38
406,immediately,48561,0.2852854264212573,269
407,added,2178,0.01279528137281972,29
408,your name,18665,0.10965285896404044,191
409,contribute,15762,0.09259835858511682,160
410,behalf,3956,0.02324064881123729,55
411,Add,9101,0.053466416792484976,148
412,the law,1682,0.009881388094161052,151
413,PAID,33966,0.19954294173975878,320
414,SENATE,7664,0.045024350983145243,80
415,This message,42735,0.25105892996669,363
416,EMAIL_REDACTED,86375,0.5074345402099648,755
417,Contributions,30053,0.17655490867646972,119
418,gifts,27706,0.1627667886663651,45
419,Senate,54152,0.3181313484393634,412
420,deductible,29878,0.17552682133016878,119
421,federal income tax purposes,5319,0.031247980542712623,77
422,emails,110378,0.6484470006286019,753
423,a crucial way,12859,0.07554385820619319,165
424,stay,42158,0.24766917911631486,288
425,touch,36804,0.21621558110434205,232
426,supporters,67825,0.398457281502065,434
427,fewer emails,68833,0.40437906461675843,399
428,Thanks,44589,0.26195078105264397,291
429,David Perdue,1198,0.007037992233534447,24
430,yesterday,3674,0.021583959487483772,37
431,grow,8168,0.047985242540491954,99
432,Perdue,1252,0.0073552306146787375,26
433,[[URL REDACTED,74377,0.43694887174757224,562
434,sponsored,1765,0.010368995235549497,28
435,this year,8426,0.04950093702818134,101
436,following,6919,0.04064763628032123,84
437,coronavirus,7623,0.044783484804869024,94
438,a crime,96,0.0005639793442565166,96
439,led,36713,0.21568097568426556,646
440,shows,8988,0.052802566106016365,32
441,this race,22367,0.13140131242693237,74
442,chip,49070,0.28827569190278407,347
443,stored,3707,0.021777827387071947,42
444,process,15459,0.09081829877980718,187
445,your contribution,6387,0.03752225074756637,34
446,instantly,7016,0.041217490409413755,43
447,truly,5223,0.030684001198456108,53
448,celebrate,2618,0.015380186700662088,45
449,state,39056,0.22944559655502617,462
450,Unfortunately,1778,0.010445367438417568,30
451,pandemic,17910,0.10521739641285638,126
452,voter suppression,2921,0.01716024650597172,37
453,represent,23477,0.13792232359489834,280
454,response,15681,0.09212250101340039,109
455,grateful,8674,0.050957883667510674,42
456,means,18487,0.10860714726323148,171
457,every day,11541,0.0678008917923381,67
458,continue,30531,0.1793630558280803,406
459,building,18416,0.1081900375398751,78
460,flip,41548,0.2440855603663516,168
461,the voters,2605,0.015303814497794018,28
462,Congress Alex,4,2.3499139344021524e-05,0
463,a lot,32225,0.1893149413402734,132
464,Time,5943,0.03491384628037998,88
465,ahead,12929,0.07595509314471358,52
466,beating,5389,0.031659215481233,80
467,Like,6234,0.03662340866765755,93
468,this campaign,16179,0.09504814386173106,73
469,month,30409,0.17864633207808764,251
470,Contribute,9430,0.055399221003530744,101
471,believes,2639,0.015503557182218202,82
472,care,53030,0.31153983985336536,454
473,[URL REDACTED,74377,0.43694887174757224,562
474,supports,1898,0.011150341618738215,109
475,spent,10171,0.059752436567010736,83
476,education,6005,0.03527808294021231,98
477,Election Day,21975,0.12909839677121826,107
478,strong,25235,0.1482501953365958,278
479,midnight,25085,0.147368977611195,70
480,Thursday,2916,0.017130872581791693,41
481,count,92510,0.5434763451788578,935
482,step,28175,0.1655220627544516,217
483,VOLUNTEER,1643,0.009652271485556842,63
484,Sent,7985,0.04691015691550297,162
485,update,53659,0.31523507951521273,547
486,your email address,23359,0.1372290989842497,328
487,address,49070,0.28827569190278407,552
488,receiving,20004,0.11751919585945164,165
489,Stop,3315,0.01947491173135784,50
490,a way,1167,0.00685587390361828,28
491,the police,1313,0.007713592489675065,151
492,pick,7966,0.04679853600361887,58
493,knew,3908,0.02295865913910903,51
494,arrested,204,0.0011984561065450977,47
495,released,3468,0.020373753811266663,101
496,trying,12347,0.07253596837015844,188
497,defending,2635,0.01548005804287418,51
498,improve,2662,0.015638677233446325,29
499,living,2212,0.012995024057243903,44
500,understand,14429,0.08476727039872164,143
501,facing,9400,0.05522297745845058,73
502,our communities,9429,0.05539334621869474,186
503,policies,5950,0.03495496977423202,192
504,actively,953,0.005598669948713129,22
505,wait,9357,0.054970361710502354,109
506,shown,3577,0.02101410535839125,39
507,understands,2257,0.013259389374864145,41
508,our community,7374,0.04332066338070368,77
509,our leaders,1150,0.0067560025614061886,27
510,My campaign,752,0.004417838196676046,25
511,combating,2637,0.01549180761254619,72
512,love,10045,0.05901221367767406,133
513,solidarity,2628,0.015438934549022142,44
514,continues,3791,0.0222713093132964,73
515,agree,8389,0.04928356998924915,162
516,live,27205,0.1598235214635264,375
517,deserves,3183,0.01869944013300513,56
518,the beginning,1586,0.009317408749904535,36
519,Rush,15327,0.09004282718145448,42
520,focused,4543,0.026689147509972446,47
521,listen,5062,0.02973816083985924,73
522,our district,5890,0.0346024826840717,83
523,holding,4620,0.02714150594234486,78
524,attend,2848,0.016731387212943327,43
525,your voice,2581,0.015162819661729889,24
526,heard,8411,0.049412815255641264,68
527,Sincerely,4935,0.028992063165686557,84
528,Facebook,34768,0.2042545191782351,485
529,[[EMAIL_REDACTED]] Update Profile,2,1.1749569672010762e-05,0
530,Constant Contact,2357,0.013846867858464684,78
531,collaboration,1076,0.0063212684835417905,36
532,Trusted Email,1877,0.0110269711371821,74
533,Constant Contact - Try,1877,0.0110269711371821,74
534,FREE,4769,0.028016848882909662,108
535,Try,2082,0.012231302028563203,87
536,email marketing,1931,0.011344209518326391,74
537,free today,1931,0.011344209518326391,74
538,House Democrats,1154,0.00677950170075021,51
539,impeach,3877,0.022776540809192863,221
540,leading,8512,0.050006168524077806,93
541,a vote,3812,0.022394679794852514,37
542,Kansans,769,0.004517709538888138,15
543,silence,1590,0.009340907889248556,37
544,silent,894,0.005252057643388811,25
545,Sign,10388,0.0610272648764239,214
546,the petition,1426,0.008377443176143674,50
547,Nancy Pelosi,6319,0.037122765378718,116
548,Chuck Schumer,3196,0.0187758123358732,46
549,my campaign,9058,0.05321380104453674,140
550,Stand,3071,0.018041464231372525,63
551,our values,5323,0.031271479682056645,54
552,This email,37756,0.22180837626821917,259
553,Check,3463,0.020344379887086636,25
554,expose,1947,0.011438206075702477,81
555,the truth,4904,0.02880994483577039,53
556,the general election,2934,0.017236618708839788,25
557,went,3439,0.020203385051022506,65
558,gets,6064,0.03562469524553663,90
559,instead,7717,0.045335714579453526,93
560,adding,1077,0.006327143268377796,22
561,police officers,637,0.003742237940535428,89
562,the air,5539,0.03254043320663381,36
563,this message,26985,0.1585310687996052,109
564,took,4180,0.024556600614502495,118
565,California,7433,0.043667275686028,104
566,returned,751,0.004411963411840042,21
567,earned,5424,0.03186483295049319,78
568,China,1065,0.006256645850345731,67
569,protect,33833,0.19876159535657006,380
570,the fight,9967,0.058553980460465636,109
571,Help,12386,0.07276508497876265,130
572,All rights,6751,0.03966067242787233,83
573,reserved,7486,0.043978639282336286,89
574,this email,30221,0.17754187252891862,228
575,opted,3137,0.018429200030548883,43
576,our website,3933,0.023105528760009163,53
577,Our mailing address,5835,0.0342793695180914,82
578,your address book,3817,0.02242405371903254,59
579,Want,9577,0.056262814374423535,128
580,these emails,12773,0.07503862671029674,146
581,your preferences,7552,0.044366375081512636,100
582,this list,7523,0.04419600632126849,109
583,Email Marketing Powered,2544,0.01494545262279769,28
584,View,5348,0.031418349302956776,70
585,your browser,4189,0.02460947367802654,53
586,truth,7952,0.04671628901591479,124
587,matters,7564,0.044436872499544706,103
588,moved,2316,0.013606001680188462,49
589,fought,7567,0.04445449685405272,98
590,died,978,0.005745539569613263,26
591,simple,3617,0.021249096751831464,41
592,putting,8248,0.048455225327372384,77
593,remember,3613,0.02122559761248744,57
594,this nation,6575,0.03862671029673538,23
595,united,1023,0.006009904887233505,36
596,individuals,4170,0.02449785276614244,49
597,service,8852,0.05200359536831964,148
598,mean,29995,0.17621417115598142,288
599,murdered,269,0.0015803171208854476,43
600,important,57696,0.3389515858981665,398
601,evidence,1086,0.006380016331901844,101
602,includes,1917,0.011261962530622316,32
603,talking,3431,0.020156386772334462,34
604,family,15496,0.09103566581873938,234
605,friends,9918,0.05826611600350137,113
606,supported,1640,0.009634647131048826,62
607,personally,12781,0.07508562498898477,81
608,showed,3419,0.0200858893543024,20
609,Social Security,7563,0.0444309977147087,70
610,children,7119,0.041822593247522306,157
611,our children,1629,0.009570024497852766,28
612,ran,56537,0.3321427102732362,645
613,close,28051,0.16479358943478695,173
614,prosecuted,58,0.0003407375204883121,22
615,serves,5100,0.029961402663627446,85
616,represents,3537,0.020779113964951034,38
617,allowed,1691,0.0099342611576851,48
618,investigating,143,0.0008400942315487695,19
619,the U.S. Congress,2421,0.014222854087969028,70
620,Mailchimp,2550,0.014980701331813723,28
621,the House,15147,0.08898536591097352,172
622,impeachment,2993,0.017583231014164105,174
623,the United States Senate,2055,0.012072682837991058,55
624,our President,1407,0.008265822264259572,73
625,killed,1010,0.005933532684365435,59
626,the time,13122,0.07708892661806262,104
627,hold,18677,0.1097233563820725,357
628,goes,4731,0.02779360705914146,42
629,gain,58374,0.3429346900169781,804
630,control,11278,0.06625582338046869,178
631,working,51004,0.2996375257756185,379
632,years,20389,0.11978098802131372,341
633,harder,3047,0.017900469395308396,38
634,alongside,3304,0.01941028909816178,41
635,currently,3133,0.01840570089120486,34
636,Texas,21322,0.12526216227330675,90
637,red,78965,0.4639023845751649,887
638,ignore,3301,0.019392664743653764,100
639,victims,341,0.002003301629077835,41
640,keeping,5427,0.03188245730500121,89
641,included,1084,0.006368266762229833,46
642,anti,6792,0.03990153860614855,150
643,questions,6033,0.035442576915620465,105
644,ignoring,698,0.004100599815531756,30
645,Kelly,4908,0.028833443975114413,57
646,accountable,5610,0.03295754292999019,286
647,refused,1751,0.010286748247845423,39
648,began,1612,0.009470153155640674,27
649,find,8022,0.04712752395443517,142
650,sit,48494,0.284891815837245,632
651,confident,2037,0.011966936710942962,41
652,publicly,1140,0.006697254713046135,29
653,serving,6198,0.036411916413561354,87
654,look,21471,0.12613750521387154,214
655,found,5787,0.03399737984596314,134
656,hiding,366,0.0021501712499779695,21
657,Texans,5801,0.03407962683366722,43
658,turned,2690,0.015803171208854477,72
659,certainly,1115,0.006550385092146,23
660,rampant,560,0.0032898795081630137,24
661,Based,373,0.002191294743830007,31
662,sexual assault,188,0.0011044595491690116,20
663,file,12470,0.07325856690498711,159
664,reported,2176,0.01278353180314771,33
665,Yesterday,1906,0.011197339897426257,37
666,repeatedly,696,0.0040888502458597455,28
667,Jacob Blake,74,0.00043473407786439824,16
668,demand,12145,0.07134926183328535,194
669,dismantle,1484,0.008718180696631985,30
670,Policing Act,236,0.0013864492212972699,24
671,needed,8008,0.047045276966731095,73
672,law enforcement,1460,0.008577185860567856,214
673,ADD,3491,0.020508873862494788,68
674,YOUR NAME,3507,0.020602870419870873,66
675,rebuild,1832,0.010762605819561859,28
676,our fight,3278,0.01925754469242564,49
677,police brutality,1012,0.005945282254037446,43
678,the Justice,269,0.0015803171208854476,24
679,Seattle,2861,0.016807759415811394,23
680,| Click,30286,0.17792373354325897,314
681,getting,16405,0.09637584523466829,227
682,track,11371,0.0668021783702172,51
683,wanted,10736,0.06307168999935378,65
684,follow,18101,0.10633948031653341,243
685,comes,16489,0.09686932716089273,162
686,past,9437,0.05544034449738278,156
687,this week,8045,0.047262644005663296,111
688,saved,37830,0.22224311034608357,132
689,your payment information,26150,0.1536256234615407,109
690,ActBlue Express,39076,0.2295630922517463,143
691,Chip,32097,0.18856296888126473,151
692,hard,27535,0.16176220045940817,238
693,discrimination,1258,0.00739047932369477,37
694,accomplish,4615,0.027112132018164835,45
695,Your support,4870,0.028610202151346208,22
696,helping,16874,0.0991311193227548,216
697,our government,3656,0.021478213360435674,37
698,refuses,1635,0.009605273206868799,41
699,powered,17632,0.10358420622844688,233
700,grassroots supporters,29548,0.17358814233428702,101
701,required,1511,0.00887679988720413,50
702,finally,5584,0.032804798524254046,83
703,impeached,302,0.0017741850204736251,45
704,witnesses,266,0.0015626927663774314,31
705,no one,5517,0.03241118794024169,45
706,the right thing,1812,0.010645110122841752,22
707,politically,485,0.00284927064546261,52
708,expedient,76,0.000446483647536409,27
709,elect,97832,0.5747419500760784,850
710,Congress P.O. Box,82,0.0004817323565524413,5
711,coming,17299,0.10162790287805709,131
