from_name,from_address,subject,body_text,name,office_sought,party_affiliation,office_level,district_type,final_website,crawl_date,source,state,type,subtype,date,hour,day,uid_email,uid_inbox,incumbent
Election Update -- via Montana HQ,teamwilliams@kathleenformontana.com,Now that we’ve closed the books on July,"Now that we’ve closed the books on July, we are reaching the home stretch. In order to stay on target, we will need to raise our monthly projections i
Kathleen Williams for Congress
Please be safe and follow CDC guidance during the coronavirus outbreak. As our country works through this difficult time, please join me in reaching out to those in need or who are feeling isolated - we are all in this together.
3 months from the election
Now that we’ve closed the books on July, we are reaching the home stretch. In order to stay on target, we will need to raise our monthly projections if we want to take the next step forward.
But here’s the truth: it’s very difficult to fundraise in the summer, even though we’re only three months away from November’s election. That means we need every supporter possible to step up to hit every goal we set for ourselves.
We depend on you and our team of small-dollar donors in order to hit every cent of our monthly goals. Will you help us get a jump on August by making a donation right now?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25 $50
$100 $250 Other
With only 3 months until the election, there is little time to waste. Together, we can make sure Kathleen has the best chance to win in November. But that all depends on what we can accomplish today.  Help us sprint to Election Day by chipping in $30 right now.
Thank you,
Montana HQ
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE MONTHLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-08-08,20,Sat,e09dcce385b772867a3de57715a3b708,08f13962c5b2090e32c902552a4ff634,No
Team Kathleen,teamwilliams@kathleenformontana.com,Something big in the works,"We have something big in the works. Before May ends, we want to raise $15,000! Will you help kickstart our Pre-Primary Fund with a $20 donation right
Kathleen Williams for Congress
Please be safe and follow CDC guidance during the coronavirus outbreak. As our country works through this difficult time, please join me in reaching out to those in need or who are feeling isolated - we are all in this together.
We have something big in the works. Before May ends, we want to raise $15,000!
Will you help kickstart our Pre-Primary Fund with a $20 donation right now?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25
$50 $100
$250 Other
Montanans will cast their ballots by June 2nd for their choice on who will stand in one of the most important elections in decades. And right now, we’re in the best position possible to elect a fighter for Montana.
We have the greatest opportunity to send a real, independent leader to the table where big decisions are made.
We can’t send just another rubber stamp to Congress that will toe the same line Gianforte has. We need a leader who’ll fight for Montana’s outdoor heritage, ensure everyone has access to quality, affordable healthcare and find the best solutions to our biggest challenges -- no matter which party they come from.
Kathleen Williams is that leader.
To make sure we send Kathleen to Congress, we’re launching a $15,000 end-of-month fundraising drive. We have just 7 days until Montana voters cast their ballots. Will you help kick things off by sending in your donation today?
Thanks!
Team Kathleen
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE MONTHLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-05-26,15,Tue,412b922f22fce86118798e43fbcd50aa,08f13962c5b2090e32c902552a4ff634,No
Kathleen Williams,teamwilliams@kathleenformontana.com,It’s our time to shine,"It’s our time to shine again. At the end of June, we have to send in a stellar report that shows all
It’s our time to shine again.
At the end of June, we have to send in a stellar report that shows all the energy we’ve gained since we won Montana’s Democratic primary.
But I won’t lie to you, it’s an uphill battle.
With so many eyes on this race, our opponent will be waiting to see us fail. And unless we have a running start out of the gate, we won’t be able to reach our $30,000 goal.
That’s why we’re working overtime to make sure we hit this goal. Our grassroots supporters have stepped up before. Will you pitch in with a $30 contribution today?
Thank you,
Kathleen Williams
Kathleen Williams for Congress
\------Forwarded Message------
Kathleen Williams for Congress
Please be safe and follow CDC guidance during the coronavirus outbreak. As our country works through this difficult time, please join me in reaching out to those in need or who are feeling isolated - we are all in this together.
Kathleen Williams for Congress
We’re facing our first major challenge since winning Montana’s Democratic Primary. In just over a week, we have to send our public fundraising report to the FEC -- where all eyes will be laser-focused on how strong our campaign is.
We can’t show any signs of weakness when national Republican special interests comb through reports trying to decide where to invest their dark money.
That’s why we’re looking for our groups of small-dollar donors to help our campaign submit the strongest report possible. We need to raise $30,000 before June 30th’s midnight deadline. Can you chip in today?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25 $50
$100 $250 Other
There’s no way to sugarcoat this, all eyes are on our campaign and there’s a slew of Republican dollars waiting to see if our campaign shows any weakness.
Maryland Matt may have his special interest donors, but we’re proud to roll up our sleeves, get to work and ask our hardworking supporters to join us in the sprint to the finish line.
We only have 8 days until our June 30th deadline. Can you chip in $30 now?
Thank you,
Team Kathleen
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE MONTHLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-06-22,20,Mon,eb486ce67b2e20a6f055c8e83a9c21bc,08f13962c5b2090e32c902552a4ff634,No
Response Requested -- via Team Kathleen,teamwilliams@kathleenformontana.com,help us stay in-the-know,"Do you have just 30 seconds to help make a difference in our campaign? Take our updated, 2020 Issue Survey to let us know which issue is most importan
Kathleen Williams for Congress
Please be safe and follow CDC guidance during the coronavirus outbreak. As our country works through this difficult time, please join me in reaching out to those in need or who are feeling isolated - we are all in this together.
Do you have just 30 seconds to help make a difference in our campaign? Take our updated, 2020 Issue Survey to let us know which issue is most important to you!
TAKE THE SURVEY
With the election just weeks away, we want to make sure the issues we keep fighting for reflect those of the people Kathleen will represent when she serves in Congress.
Especially since in-person events are limited, we depend on hearing from you digitally to make sure we stay informed about your community’s top priorities.
So whether it’s protecting public lands, strengthening Social Security or fighting to recover our economy, take our 30-second survey today to let us know about your #1 issue in this election!
Thank you for sharing your thoughts,
Team Kathleen
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE MONTHLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-08-21,19,Fri,832fb58faef42c9f3ddddd965cf4c52a,08f13962c5b2090e32c902552a4ff634,No
"Blake Thompson, me (2)",teamwilliams@kathleenformontana.com,The difference is stark,"The difference between Kathleen and Matt Rosendale couldn’t be more clear: one is an avid sportswoman, daughter of a World War II veteran and a champi
The difference between Kathleen and Matt Rosendale couldn’t be more clear: one is an avid sportswoman, daughter of a World War II veteran and a champion for expanding healthcare coverage. The other? A developer from the East Coast reaching for another rung on the political ladder.
That’s the choice that Montanans have to make this November and we’re doing everything we can to ensure voters get to hear both sides of the story -- not just what Rosendale’s dark money-funded ads say about us, or how he’s trying to reinvent himself and his extreme record.
But we’re running out of time. With the election less than four months away, we need to build up the resources required to win. Will you chip in any amount today?
Thank you,
Blake Thompson
Finance Director
Kathleen Williams for Congress
\-----FORWARDED MESSAGE-----
Kathleen Williams for Congress
Please be safe and follow CDC guidance during the coronavirus outbreak. As our country works through this difficult time, please join me in reaching out to those in need or who are feeling isolated - we are all in this together.
Your $10 donation today can help us gain an edge in a race that continues to be neck and neck with just months before the general election. Will you pitch in today?
We want to be the campaign that sends real leadership to Washington, but it’ll be a team effort to make that happen.
We need someone in Congress who gets our Montana way of life. Someone who will fight for the small business owner in Billings and the ranchers and farmers in Choteau. And we deserve someone who will protect Medicare for our seniors and prevent predatory, short-term junk insurance plans from being unwittingly sold to working families.
I’m ready to be that leader. Matt Rosendale is not. But his campaign is being propped up by dark money and his insurance special interests. That’s why I need you to chip in $15 today to stop him from buying this election.
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25 $50
$100 $250 Other
Right now, this race is still tied. That means anyone can take the lead and run with it. Help us pull ahead!
Maryland Matt is just too out of touch to ever be of service to the people he’s supposed to represent. He’s an out-of-state land developer who doesn’t know our Montana way of life.
I’m ready to show Congress what Montana leadership really looks like -- independent, focused and willing to work with people of all political stripes to get good work done. Will you help me represent the state I love by sending in a donation of any amount right now?
Thank you,
\-- Kathleen
Kathleen Williams for Congress
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE MONTHLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-07-21,16,Tue,e860e6546fa91db667d5192fa0c60274,08f13962c5b2090e32c902552a4ff634,No
Kathleen Williams,teamwilliams@kathleenformontana.com,I’m ready to roll up my sleeves,"Thank you. After long days and longer nights, we submitted a report that reflects the momentum behi
Kathleen Williams for Congress
Please be safe and follow CDC guidance during the coronavirus outbreak. As our country works through this difficult time, please join me in reaching out to those in need or who are feeling isolated - we are all in this together.
I wanted to take the time to say thank you. These are tough times for our country, that’s why I'm thankful that you've placed your trust, and hard-earned money into our campaign to bring true, independent leadership back to Washington.
I’m ready to roll up my sleeves and get to work for Montanans in Congress, and with you behind me, I’m confident that we can cross the finish line with a win this November.
Make sure you don’t miss anything our campaign is doing by following us on Facebook, Twitter and Instagram.
Follow me on Twitter
Follow me on Facebook
Follow me on Instagram
Thank you! Now, let’s finish the job,
Kathleen Williams
Kathleen Williams for Congress
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-08-01,17,Sat,bee5351731bb409cb01f8d47ab80adfc,08f13962c5b2090e32c902552a4ff634,No
Jeff Allen,teamwilliams@kathleenformontana.com,Game time,"The fact of the matter is that we’re in the final days of the campaign, and we need to make every ho
The fact of the matter is that we’re in the final days of the campaign, and we need to make every hour count.
That’s why Kathleen is looking for your support today.
Please take a look at Kathleen’s note from earlier, and then help us ensure that she earns our seat in Washington this November with a $25 contribution.
Thank you,
Jeff Allen
Campaign Manager
\-----FORWARDED MESSAGE-----
Kathleen Williams for Congress
I want to ask you to donate $25 to my campaign right off the success we had during our end-of-quarter fundraising. Here’s why:
We’re entering the final stages of the campaign. Right now, there are only 32 days that stand between us and November 3rd’s General Election.
And in that time, we still have a lot of work to do.
October is our absolute, final month of campaigning. Not only do we need to bring in a budget that will keep the campaign running for the month, but we also need to gather the resources required to get Montanans crucial voting information, our campaign ads in front of as many voters as possible and edge out Maryland Matt in November.
But all those things take big dollars to accomplish. That’s why I’m turning to my grassroots supporters: will you help kick off October right by sending in a $25 donation right now?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25 $50
$100 $250 Other
I’m ready to take my seat in Congress to be the independent voice Montanans deserve. But this year has been a clear reminder of what happens when special-interest funded Super PACs are allowed to take to the airwaves and lie. They’ve done it before, and now they’re doing it for Rosendale.
When I’m elected, Montanans will be sending a powerful message to the Washington establishment that out-of-state phonies have no business representing the interests of our ranchers, farmers, business owners, or our families. Help me make the message one they can’t ignore with your donation today.
Thank you,
Kathleen Williams
Kathleen Williams for Congress
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE WEEKLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana. Authorized by Biden for President.
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-10-02,19,Fri,580b0d6a17a2502261431902f900475d,08f13962c5b2090e32c902552a4ff634,No
Kathleen Williams,teamwilliams@kathleenformontana.com,It’s clear who Matt Rosendale is working for,"Just today we found out that Kevin McCarthy, the Republican House leader, has raised $103,000,000 th
Kathleen Williams for Congress
Just today we found out that Kevin McCarthy, the Republican House leader, has raised $103,000,000 this year -- including nearly $20,000,000 last quarter alone.
And guess who has been a proud recipient of his D.C. handouts? My opponent Matt Rosendale.
I wish I could say I was surprised, but we call him Maryland Matt for a reason.
He proves us right over and over. It’s clear who Maryland Matt really works for -- his special interest donors and DC political interests. We’re up against an opponent who's more focused on the swamp than Montana. Can I count on you to keep this race competitive with a $25 donation?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25 $50
$100 $250 Other
Not only is McCarthy happy to raise money for an East Coast developer, he’s even scheduled to be in Montana this week to talk to donors and bring in even more dollars to his campaign.
Maryland Matt knows he needs every resource he can get to beat me. From the shady Super PACs running attack ads that lie about my record, to the countless surrogates that have used their influence to rake in hundreds of thousands of dollars, Matt can’t get support in Montana so he looks elsewhere.
But I’m proud to have the people of Montana on my side, and we’ll show just how strong we are.
So let’s make sure Matt, Kevin and everyone in Washington knows the power behind my grassroots, people-powered campaign. Chip in $10 to keep our efforts strong and WIN in 19 days.
Thank you,
Kathleen Williams
Kathleen Williams for Congress
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE WEEKLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Make sure you have a plan and be sure to vote early! Check your voter registration and key voting dates here.
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-10-15,20,Thu,7bfc8dd9245c242682977282fa912ceb,08f13962c5b2090e32c902552a4ff634,No
Cheri Bustos,teamwilliams@kathleenformontana.com,This race is getting serious,"My name is Cheri Bustos and I serve Illinois’ 17th District in Congress. I've been looking over the numbers for weeks and one thing is very clear: Ka
Kathleen Williams for Congress
Friends,
My name is Cheri Bustos and I serve Illinois’ 17th District in Congress.
I've been looking over the numbers for weeks and one thing is very clear: Kathleen’s race will be a close race all the way to Election Day. Kathleen’s polling numbers are neck and neck with her opponent and whenever she gets a leg up, Matt Rosendale meets her efforts.
That’s why I am asking you to help her break out of her tie and beef up her final end-of-quarter finance report before her September 30th deadline. Will you make this happen with a $25 contribution?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25 $50
$100 $250 Other
This will be one of Kathleen’s last moments to break the tie and take the lead. A public finance report with numbers this big will tell the big special interests in Washington that we mean business.
So help us hit Kathleen’s final fundraising goal before the election. Chip in $25 to invest in the future of Montana.
Thank you,
Cheri Bustos
Representative, IL-17
Chairwoman, DCCC
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE WEEKLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana. Authorized by Biden for President.
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-09-26,14,Sat,e9c610ff51c0d80e585e178d9bc4e6d5,08f13962c5b2090e32c902552a4ff634,No
Jeff Allen,teamwilliams@kathleenformontana.com,last time you’ll hear from me,"This is one of the last emails I’ll get to send you. First, I wanted to say thank you for your ded
Kathleen Williams for Congress
This is one of the last emails I’ll get to send you.
First, I wanted to say thank you for your dedicated support to Team Kathleen. Our campaign wouldn’t have been this strong, robust or even possible without your continued support since day one.
Second, we’re just hours away from the election and I want to make sure our campaign is on the strongest possible footing ahead of tomorrow. Can I count on you to make a final donation before midnight and help us fill up the last $3,378 we need in our Get Out the Vote Fund?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25 $50
$100 $250 Other
Thank you for all you do,
Jeff Allen
Campaign Manager
Kathleen Williams for Congress
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Make sure you have a plan and be sure to vote early! Check your voter registration and key voting dates here.
Paid for by Kathleen Williams for Montana.
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-11-02,20,Mon,b379c4efb3fd496f09dfc0f383080654,08f13962c5b2090e32c902552a4ff634,No
Kathleen Williams,teamwilliams@kathleenformontana.com,Steve Bullock understands this race,"Steve Bullock understands exactly what is at stake in this election: the future of Montana. Even in
Steve Bullock understands exactly what is at stake in this election: the future of Montana.
Even in his own neck-and-neck race, he took the time to talk to my top supporters because he knows we all need to work together in order for us to be victorious in November.
Take a look at his note from earlier today, and then chip in whatever you can to support my campaign for Congress.
Thank you for your support and thank you, Steve, for your help!
\-- Kathleen Williams
Kathleen Williams for Congress
\-----FORWARDED MESSAGE-----
Kathleen Williams for Congress
It’s Steve Bullock. I wanted to send you a quick note about why Kathleen is depending on your support this November.
We’re now 26 days away from the General Election and the choice for Montanans is clear: Kathleen Williams is the only candidate fighting for our best interests. Just take a peek at Matt Rosendale’s record:
1. As Insurance Commissioner, he has pushed healthcare plans that don't cover preexisting conditions.
2. He supported backdoor legislation to make it easier to transfer and sell off public lands.
3. And he continues to be a party puppet ready to slash taxes for the wealthy and gut Social Security.
It’s clear as day: Matt Rosendale will always put his party over the people of Montana. It’s time for Montanans to have a leader they can depend on in Congress. Will you rush in $20.20 to help support Kathleen Williams today?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25 $50
$100 $250 Other
This election will determine Montana’s future for decades to come. We can either have a champion for our public lands and bipartisan leader as our voice into the future, or an East Coast developer looking to make a quick buck off his latest political position.
The choice is up to you. Help make sure Kathleen has her best shot at victory before we hit the final days of the election by chipping in any amount today.
Thank you,
Steve Bullock
Candidate for U.S. Senate
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE WEEKLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Make sure you have a plan and be sure to vote early! Check your voter registration and key voting dates here.
Paid for by Kathleen Williams for Montana.
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-10-08,17,Thu,0c888d591a451c64b2036ec97acf511b,08f13962c5b2090e32c902552a4ff634,No
Jeff Allen,teamwilliams@kathleenformontana.com,outrageous news,"I wanted to make sure every single supporter saw this. Right now, the Montana GOP is trying to scam their way to a win in 2020
I wanted to make sure every single supporter saw this.
Right now, the Montana GOP is trying to scam their way to a win in 2020. This petty political tactic is exactly what’s wrong with politics, and why we need an independent voice for Montana in Congress -- that’s Kathleen.
Will you chip in $5 to our campaign today? With 157 donors already throwing their support behind Kathleen, we have a chance to stand up to shameless partisans’ shady tactics.
Thank you,
Jeff Allen
Campaign Manager
Kathleen Williams for Montana
\------Forwarded Message------
Kathleen Williams for Congress
Please be safe and follow CDC guidance during the coronavirus outbreak. As our country works through this difficult time, please join me in reaching out to those in need or who are feeling isolated - we are all in this together.
It was revealed that the Montana GOP spent over $100,000 to help run a third party on the ballot that would take votes away from Kathleen in November!
We can’t let groups that aren’t willing to play fair dump mountains of cash to influence our elections with these kinds of shady tactics.
Help us fight back and make them regret their shameless actions in a huge way by helping our campaign get 300 Rapid Response Donations by tomorrow night. Donate whatever you can so we can fight back.
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25
$50 $100
$250 Other
Until we can fix our broken campaign finance system, the only way we can stay afloat now is by keeping up with their fundraising numbers. It’s a big challenge, but by reaching goals like the one tomorrow night, we’ll have what it takes to fight back against whatever the shameless partisans throw at our campaign.
We need 300 donors to help us catch up with these outrageous efforts to meddle in Montana’s election. Chip in now.
Thank you,
Montana HQ
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE MONTHLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-04-07,15,Tue,fc59b095647b836b396e5b683ef04f59,08f13962c5b2090e32c902552a4ff634,No
Team Kathleen,teamwilliams@kathleenformontana.com,re: our FEC report,"Team, We only have 24 hours to catch up to where we should be in June, and our second public FEC repor
Kathleen Williams for Congress
Please be safe and follow CDC guidance during the coronavirus outbreak. As our country works through this difficult time, please join me in reaching out to those in need or who are feeling isolated - we are all in this together.
Team,
We only have 24 hours to catch up to where we should be in June, and our second public FEC report of the year is right around the corner.
Will we see your $10 before tonight ends?
We usually have days to cushion any setbacks and to catch up to our internal projections if we need. But with another public report due at the end of June, we can’t waste any time. We have a goal to reach and we need to reach it ASAP.
But we’re counting on our grassroots team to pick up the pace if we have any chance to submit a strong report. Send in $15 right now to help us raise the $2,500 we need to catch up to our projections.
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25
$50 $100
$250 Other
Right now, the country is watching Montana. We had a big showing at the primaries, and people are waiting to see if we can hit our first major goal after.
Our campaign is fueled 80% by Montanans, and Rosendale’s is 70% out of state.
We can’t let the outsiders get the upper hand with their dark money stockpile. Will you rush in $10 to hit our goal right now to ensure that we have the resources to stand up to whatever national Republicans throw into this race?
Thank you,
Team Kathleen
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE MONTHLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-06-13,12,Sat,045ed9a29ce9e9cf6f82766fba90de86,08f13962c5b2090e32c902552a4ff634,No
Jeff Allen,teamwilliams@kathleenformontana.com,The choice is clear,"After last night’s debate in Montana, the choice is clear -- Kathleen Williams is the only candidate fighting for the future of our communities.
Kathleen Williams for Congress
After last night’s debate in Montana, the choice is clear -- Kathleen Williams is the only candidate fighting for the future of our communities.
While Kathleen stood up and offered her vision for all Montanans regardless of political stripe, Maryland Matt resorted to partisan talking points to cover up his desire to rip healthcare away from millions, ignore the climate crisis and transform Montana into something we wouldn't recognize.
We know that Kathleen will always stand up for the good of our country and our state in Congress. Help us get her to D.C. by rushing in a $20.20 donation. There are only 6 more days until our public finance report is due!
Thank you,
Jeff Allen
Campaign Manager
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE WEEKLY
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Paid for by Kathleen Williams for Montana
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-09-24,15,Thu,e5ee77603abb2eed4b04553b445d265c,08f13962c5b2090e32c902552a4ff634,No
Jeff Allen,teamwilliams@kathleenformontana.com,there’s history in the making,"Montana and the entire country are making history right now as the 2020 Election is projected to see
Kathleen Williams for Congress
Montana and the entire country are making history right now as the 2020 Election is projected to see record turnout.
But with thousands of Montanans planning to hit the polls on Tuesday, we need to make sure they know just what Kathleen stands for.
That’s why our $10,000 Get Out the Vote Fund is critical -- we need these resources to keep the campaign strong in these final days. Will you contribute anything you can afford right now?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$10 $25 $50
$100 $250 Other
These final hours will be make-or-break for our campaign. We can’t let our message miss a single voter.
We need your support ASAP. Rush in $5, $15 or $25 right now and let’s finish the job.
Thank you,
Jeff Allen
Campaign Manager
Kathleen Williams is a fighter for Montana. She is running for Congress to fix our broken health care system, foster opportunity for all Montanans and protect Montana's outdoor heritage.
CONTRIBUTE
To donate via mail, please send a contribution to PO BOX 548 BOZEMAN, MT 59771
Make sure you have a plan and be sure to vote early! Check your voter registration and key voting dates here.
Paid for by Kathleen Williams for Montana.
This email was sent to [[EMAIL_REDACTED]]. Don't want to receive these emails anymore? Unsubscribe
Kathleen Williams, P.O. Box 548 Bozeman, MT 59771",Kathleen Williams,U.S. House Montana At-large District,Democratic Party,Federal,Congress,https://kathleenformontana.com/,12-02-2019,ballotpedia-campaign,,,,2020-11-01,18,Sun,e2a1e377dc016c914783ae98778d2862,08f13962c5b2090e32c902552a4ff634,No
